ride_id,datetime,location_start,location_end,distance_km,base_fare,competitor_price,ride_demand,weather_condition,traffic_condition
43,2024-08-03 04:30:00,PointC,PointD,3.9,8.0,9.0,High,Clear,Moderate
44,2024-08-03 05:45:00,PointD,PointE,6.7,8.5,9.5,Low,Cloudy,Heavy
45,2024-08-03 07:00:00,PointE,PointF,2.6,9.0,10.0,Medium,Rainy,Light
46,2024-08-03 08:15:00,PointF,PointG,5.4,9.5,10.5,High,Clear,Moderate
47,2024-08-03 09:30:00,PointG,PointH,6.2,10.0,11.0,Low,Cloudy,Heavy
48,2024-08-03 10:45:00,PointH,PointI,4.7,10.5,11.5,Medium,Rainy,Light
49,2024-08-03 12:00:00,PointI,PointJ,3.5,11.0,12.0,High,Clear,Moderate
50,2024-08-03 13:15:00,PointJ,PointK,6.0,11.5,12.5,Low,Cloudy,Heavy
51,2024-08-03 14:30:00,PointK,PointL,3.8,7.0,8.0,Medium,Rainy,Light
52,2024-08-03 15:45:00,PointL,PointM,6.4,7.5,8.5,High,Clear,Moderate
53,2024-08-03 17:00:00,PointM,PointN,4.3,8.0,9.0,Low,Cloudy,Heavy
54,2024-08-03 18:15:00,PointN,PointO,5.5,8.5,9.5,Medium,Rainy,Light
55,2024-08-03 19:30:00,PointO,PointP,3.7,9.0,10.0,High,Clear,Moderate
56,2024-08-03 20:45:00,PointP,PointQ,6.2,9.5,10.5,Low,Cloudy,Heavy
57,2024-08-03 22:00:00,PointQ,PointR,4.9,10.0,11.0,Medium,Rainy,Light
58,2024-08-03 23:15:00,PointR,PointS,5.8,10.5,11.5,High,Clear,Moderate
59,2024-08-04 00:30:00,PointS,PointT,3.8,11.0,12.0,Low,Cloudy,Heavy
60,2024-08-04 01:45:00,PointT,PointU,6.1,11.5,12.5,Medium,Rainy,Light
61,2024-08-04 03:00:00,PointA,PointB,4.2,7.0,8.0,High,Clear,Moderate
62,2024-08-04 04:15:00,PointB,PointC,5.6,7.5,8.5,Low,Cloudy,Heavy
63,2024-08-04 05:30:00,PointC,PointD,4.1,8.0,9.0,Medium,Rainy,Light
64,2024-08-04 06:45:00,PointD,PointE,6.4,8.5,9.5,High,Clear,Moderate
65,2024-08-04 08:00:00,PointE,PointF,2.9,9.0,10.0,Low,Cloudy,Heavy
66,2024-08-04 09:15:00,PointF,PointG,5.3,9.5,10.5,Medium,Rainy,Light
67,2024-08-04 10:30:00,PointG,PointH,4.2,10.0,11.0,High,Clear,Moderate
68,2024-08-04 11:45:00,PointH,PointI,3.5,10.5,11.5,Low,Cloudy,Heavy
69,2024-08-04 13:00:00,PointI,PointJ,5.6,11.0,12.0,Medium,Rainy,Light
70,2024-08-04 14:15:00,PointJ,PointK,4.8,11.5,12.5,High,Clear,Moderate
71,2024-08-04 15:30:00,PointK,PointL,6.3,7.0,8.0,Medium,Cloudy,Heavy
72,2024-08-04 16:45:00,PointL,PointM,3.9,7.5,8.5,High,Rainy,Light
73,2024-08-04 18:00:00,PointM,PointN,5.1,8.0,9.0,Low,Clear,Moderate
74,2024-08-04 19:15:00,PointN,PointO,6.7,8.5,9.5,High,Cloudy,Heavy
75,2024-08-04 20:30:00,PointO,PointP,4.8,9.0,10.0,Medium,Rainy,Light
76,2024-08-04 21:45:00,PointP,PointQ,5.1,9.5,10.5,High,Clear,Moderate
77,2024-08-04 23:00:00,PointQ,PointR,6.3,10.0,11.0,Low,Cloudy,Heavy
78,2024-08-05 00:15:00,PointR,PointS,3.9,10.5,11.5,Medium,Rainy,Light
79,2024-08-05 01:30:00,PointS,PointT,6.1,11.0,12.0,High,Clear,Moderate
80,2024-08-05 02:45:00,PointT,PointU,2.7,11.5,12.5,Low,Cloudy,Heavy
81,2024-08-05 04:00:00,PointA,PointB,5.6,7.0,8.0,Medium,Rainy,Light
82,2024-08-05 05:15:00,PointB,PointC,4.3,7.5,8.5,High,Clear,Moderate
83,2024-08-05 06:30:00,PointC,PointD,6.0,8.0,9.0,Low,Cloudy,Heavy
84,2024-08-05 07:45:00,PointD,PointE,2.4,8.5,9.5,Medium,Rainy,Light
85,2024-08-05 09:00:00,PointE,PointF,5.7,9.0,10.0,High,Clear,Moderate
86,2024-08-05 10:15:00,PointF,PointG,4.8,9.5,10.5,Low,Cloudy,Heavy
87,2024-08-05 11:30:00,PointG,PointH,7.1,10.0,11.0,Medium,Rainy,Light
88,2024-08-05 12:45:00,PointH,PointI,3.6,10.5,11.5,High,Clear,Moderate
89,2024-08-05 14:00:00,PointI,PointJ,6.3,11.0,12.0,Low,Cloudy,Heavy
90,2024-08-05 15:15:00,PointJ,PointK,4.1,11.5,12.5,Medium,Rainy,Light
91,2024-08-05 16:30:00,PointK,PointL,5.8,7.0,8.0,Low,Clear,Moderate
92,2024-08-05 17:45:00,PointL,PointM,3.9,7.5,8.5,Medium,Cloudy,Heavy
93,2024-08-05 19:00:00,PointM,PointN,6.7,8.0,9.0,High,Rainy,Light
94,2024-08-05 20:15:00,PointN,PointO,2.6,8.5,9.5,Low,Clear,Moderate
95,2024-08-05 21:30:00,PointO,PointP,5.4,9.0,10.0,Medium,Cloudy,Heavy
96,2024-08-05 22:45:00,PointP,PointQ,6.2,9.5,10.5,High,Rainy,Light
97,2024-08-06 00:00:00,PointQ,PointR,4.7,10.0,11.0,Low,Clear,Moderate
98,2024-08-06 01:15:00,PointR,PointS,3.5,10.5,11.5,Medium,Cloudy,Heavy
99,2024-08-06 02:30:00,PointS,PointT,6.0,11.0,12.0,High,Rainy,Light
100,2024-08-06 03:45:00,PointT,PointU,3.8,11.5,12.5,Low,Clear,Moderate
